Temperature	Pressure	Humidity	Methane	TVOC	CO2	CO	S1	S2	S3	S4	S5	S6	Soil_Temperature	Soil_Moisture	Soil_pH
51.20	999.71	21.82	125	0	400	125	1318.32	1027.69	1539.55	1325.62	1396.88	1088.62	37.38	0.00	17.04
51.11	999.73	21.65	110	0	400	110	1318.32	1028.79	1541.78	1326.61	1398.97	1088.62	37.38	0.00	14.53
50.99	999.73	21.54	110	0	400	111	1316.87	1026.60	1538.44	1324.63	1396.88	1087.37	37.38	0.00	14.51
50.87	999.73	21.50	107	0	400	107	1316.87	1027.69	1539.55	1325.62	1397.93	1088.62	37.38	0.00	14.51
50.77	999.73	21.45	109	0	400	108	1318.32	1027.69	1540.66	1325.62	1396.88	1089.88	37.38	0.00	14.50
50.70	999.73	21.46	108	0	400	108	1319.76	1028.79	1542.89	1329.57	1397.93	1091.13	37.44	0.00	14.50
50.64	999.74	21.45	110	0	400	110	1316.87	1027.69	1541.78	1328.58	1400.01	1091.13	37.44	0.00	14.50
50.60	999.74	21.44	108	0	400	109	1305.31	1022.22	1523.95	1315.74	1396.88	1088.62	37.44	0.00	14.50
50.57	999.74	21.43	108	0	400	108	1298.08	1011.28	1527.30	1315.74	1383.31	1082.35	37.44	0.00	14.49
50.54	999.75	21.43	108	0	400	108	1318.32	1028.79	1540.66	1328.58	1403.15	1092.39	37.44	0.00	14.49
50.53	999.74	21.43	108	0	400	108	1308.20	1020.03	1530.64	1319.69	1392.71	1087.37	37.44	0.00	14.48
50.51	999.74	21.44	108	0	400	108	1321.21	1029.88	1544.01	1331.54	1404.19	1096.15	37.44	0.00	14.49
50.50	999.74	21.44	107	0	400	107	1322.65	1030.98	1545.12	1331.54	1404.19	1093.64	37.50	0.00	14.48
50.50	999.74	21.46	109	0	400	109	1319.76	1030.98	1544.01	1328.58	1405.23	1094.89	37.50	0.00	14.48
50.50	999.73	21.46	108	0	400	108	1282.18	1017.84	1515.04	1306.85	1384.35	1076.08	37.50	0.00	14.49
50.50	999.73	21.47	109	0	400	109	1305.31	1018.94	1533.98	1321.67	1391.66	1087.37	37.50	0.00	14.48
50.50	999.74	21.46	107	0	400	107	1306.75	1027.69	1533.98	1323.64	1405.23	1094.89	37.50	0.00	14.48
50.50	999.74	21.46	107	0	400	107	1123.17	939.04	1390.27	1220.91	1310.23	1032.18	37.56	0.00	14.49
50.51	999.73	21.48	108	0	400	108	1104.38	902.93	1373.56	1199.18	1281.00	1017.13	37.56	0.00	14.48
50.51	999.72	21.45	109	0	400	109	1102.94	902.93	1372.45	1198.19	1279.95	1015.88	37.63	0.00	14.48
50.52	999.73	21.45	107	0	400	107	1066.80	889.79	1344.60	1180.41	1266.38	1007.10	37.69	0.00	14.48
50.52	999.73	21.44	109	0	400	109	1092.82	888.70	1361.31	1184.36	1268.47	1009.61	37.69	0.00	14.48
50.52	999.73	21.45	107	0	400	108	821.06	867.90	978.09	856.42	1221.49	714.88	37.75	0.00	14.47
50.52	999.72	21.45	109	0	400	108	530.51	391.81	530.26	467.23	506.34	395.06	37.81	0.00	14.47
50.52	999.71	21.45	105	0	400	105	533.40	397.29	536.95	476.12	517.83	406.35	37.75	0.00	14.48
50.53	999.72	21.46	109	0	400	109	533.40	396.19	536.95	476.12	515.74	406.35	37.75	0.00	14.48
50.53	999.72	21.45	108	0	400	108	517.50	365.55	518.01	449.45	482.33	358.69	37.75	0.00	14.48
50.53	999.72	21.46	109	0	400	109	952.60	708.11	1090.61	920.62	1009.56	761.28	37.75	0.00	14.48
50.54	999.72	21.47	107	0	400	107	1085.59	852.58	1312.29	1127.07	1168.24	904.26	37.75	0.00	14.46
50.54	999.73	21.48	109	16	411	109	1146.30	848.20	1375.79	1179.42	1169.29	948.16	37.81	0.00	14.47
50.54	999.73	21.48	107	12	412	107	1123.17	864.62	1355.74	1152.75	1196.43	925.58	37.75	0.00	14.48
50.54	999.73	21.48	110	13	403	109	1097.15	854.77	1335.69	1125.10	1188.08	905.51	37.81	0.00	14.46
50.55	999.73	21.51	106	16	413	106	598.45	411.51	589.31	500.81	526.18	391.30	37.81	0.00	14.48
50.55	999.73	21.51	109	18	410	109	559.42	369.93	529.15	451.42	465.63	348.66	37.81	0.00	14.46
50.55	999.73	21.52	108	21	410	108	1173.77	932.48	1462.68	1248.57	1309.19	1054.76	37.81	0.00	14.40
50.55	999.73	21.52	109	19	408	109	1394.93	1092.27	1646.49	1394.76	1464.74	1147.57	37.81	0.00	14.36
50.55	999.72	21.53	107	13	406	107	1400.71	1093.36	1650.95	1399.70	1466.83	1150.08	37.81	0.00	14.31
50.54	999.72	21.54	106	20	419	106	1364.58	1081.32	1625.33	1378.96	1448.04	1135.03	37.81	0.00	14.29
50.54	999.72	21.55	107	9	400	107	1013.31	893.08	1347.94	1156.71	1244.46	999.58	37.88	0.00	14.26
50.54	999.72	21.56	109	10	415	109	1063.91	885.41	1405.87	1185.35	1244.46	1008.36	37.88	0.00	14.22
50.54	999.73	21.60	108	15	415	108	1048.01	884.32	1390.27	1174.49	1240.28	1002.08	37.94	0.00	14.21
50.54	999.73	21.61	108	22	421	108	1006.09	870.09	1352.40	1151.77	1210.00	984.53	37.94	0.00	14.19
50.55	999.73	21.64	107	13	419	108	893.33	653.39	1168.59	1013.48	840.43	869.14	38.00	0.00	14.17
50.55	999.73	21.64	108	16	420	108	1130.40	943.42	1432.61	1227.83	1301.88	1042.22	38.00	0.00	14.15
50.55	999.72	21.68	108	23	421	108	847.08	993.76	954.70	819.87	1334.24	667.22	38.06	0.00	14.12
50.55	999.72	21.69	107	27	419	107	601.34	407.14	573.71	489.95	505.30	380.01	38.06	0.00	14.11
50.55	999.72	21.72	108	20	417	108	623.02	436.69	600.45	513.65	534.53	397.57	38.13	0.00	14.11
50.54	999.73	21.72	108	25	431	108	549.30	421.37	548.09	467.23	511.56	367.47	38.06	0.00	14.08
50.54	999.73	21.75	108	22	417	108	500.15	362.26	484.59	433.64	462.50	359.95	38.06	0.00	14.06
50.53	999.73	21.78	106	27	422	106	325.24	248.44	300.78	284.48	312.16	248.33	38.06	0.00	14.08
50.53	999.72	21.79	106	27	429	106	310.79	241.87	296.32	282.51	310.07	245.82	38.06	0.00	14.13
50.53	999.72	21.80	106	30	438	107	313.68	242.97	298.55	283.50	313.20	245.82	38.06	0.00	14.17
50.54	999.72	21.80	110	23	424	110	305.01	242.97	292.98	276.58	314.25	242.06	38.06	0.00	14.20
50.54	999.71	21.81	107	29	423	108	277.54	210.14	278.50	257.81	285.01	221.99	38.06	0.00	14.21
50.55	999.71	21.82	109	31	438	109	267.42	197.00	269.59	249.91	271.44	218.23	38.00	0.00	14.22
50.55	999.72	21.83	107	28	434	107	267.42	215.61	261.79	244.97	295.45	216.97	38.00	0.00	14.24
50.55	999.72	21.83	109	35	435	109	430.77	323.96	403.27	362.52	417.60	312.29	38.00	0.00	14.23
50.55	999.72	21.83	107	36	436	108	514.61	368.83	502.41	442.53	476.07	367.47	37.94	0.00	14.25
50.56	999.72	21.85	109	31	431	109	505.93	363.36	487.93	426.73	464.58	353.68	38.00	0.00	14.26
50.56	999.72	21.87	107	31	445	107	456.79	329.43	419.98	377.34	411.34	318.56	38.00	0.00	14.27
50.56	999.71	21.87	110	23	436	110	361.38	268.14	329.74	303.25	342.43	263.38	37.94	0.00	14.29
50.56	999.72	21.88	108	38	445	108	407.64	284.56	366.51	330.91	361.23	283.44	38.00	0.00	14.31
50.57	999.72	21.88	109	44	452	109	417.76	277.99	372.08	336.84	356.01	288.46	37.88	0.00	14.30
50.57	999.72	21.88	106	27	441	106	319.46	238.59	306.35	289.42	321.55	259.61	37.88	0.00	14.32
50.58	999.72	21.88	110	38	447	110	416.31	304.26	419.98	395.12	412.38	359.95	37.88	0.00	14.32
50.58	999.72	21.90	107	34	441	107	530.51	375.40	511.33	454.38	487.55	387.54	37.81	0.00	14.35
50.58	999.73	21.91	109	43	457	109	544.96	383.06	531.38	464.26	495.90	386.29	37.75	0.00	14.37
50.59	999.73	21.92	107	40	446	108	484.25	350.23	484.59	430.68	468.76	369.98	37.81	0.00	14.37
50.59	999.73	21.92	110	45	447	110	407.64	317.39	441.14	396.10	431.18	344.90	37.75	0.00	14.38
50.60	999.73	21.93	107	45	457	107	465.46	338.19	465.65	415.86	456.23	361.20	37.81	0.00	14.40
50.61	999.73	21.94	108	43	457	108	494.37	353.51	473.45	422.78	461.45	366.22	37.81	0.00	14.40
50.61	999.73	21.93	108	47	451	108	497.26	357.89	477.91	427.71	468.76	372.49	37.81	0.00	14.38
50.62	999.73	21.94	109	49	454	110	491.48	352.41	468.99	423.76	460.41	366.22	37.81	0.00	14.40
50.63	999.73	21.95	107	51	465	107	511.72	364.45	487.93	435.62	475.02	373.74	37.81	0.00	14.41
50.63	999.73	21.97	110	49	454	110	510.27	364.45	487.93	436.60	476.07	376.25	37.81	0.00	14.42
50.64	999.73	21.96	108	45	458	108	500.15	360.08	480.13	428.70	468.76	367.47	37.75	0.00	14.41
50.65	999.74	21.98	108	47	461	108	371.50	292.22	386.56	357.58	406.12	326.09	37.75	0.00	14.41
50.65	999.73	21.99	106	56	470	106	374.39	300.98	407.72	384.25	422.82	351.17	37.75	0.00	14.43
50.66	999.73	22.00	108	44	455	109	401.86	310.83	428.89	397.09	438.48	356.19	37.75	0.00	14.44
50.67	999.73	22.02	107	55	471	107	422.09	323.96	435.57	402.03	447.88	361.20	37.75	0.00	14.44
50.68	999.73	22.03	108	54	463	108	419.20	318.49	430.00	394.13	441.62	354.93	37.75	0.00	14.44
50.68	999.74	22.04	108	50	463	107	443.78	346.94	464.54	427.71	480.24	385.03	37.75	0.00	14.45
50.69	999.74	22.05	109	44	467	109	602.78	349.13	710.73	632.19	502.17	543.06	37.75	0.00	14.46
50.69	999.74	22.07	107	51	468	107	443.78	337.09	445.60	410.92	455.19	367.47	37.75	0.00	14.46
50.69	999.74	22.07	108	55	477	108	429.32	330.53	437.80	405.98	452.06	367.47	37.69	0.00	14.46
50.69	999.74	22.08	109	65	488	109	424.98	327.24	434.46	404.01	446.84	364.96	37.69	0.00	14.46
50.70	999.74	22.10	108	62	479	108	474.13	363.36	495.73	463.27	509.48	423.91	37.63	0.00	14.45
50.70	999.74	22.11	108	58	470	109	465.46	373.21	515.78	489.95	560.63	459.03	37.63	0.00	14.44
50.71	999.73	22.13	107	66	497	107	588.33	416.99	675.09	619.35	652.50	561.87	37.56	0.00	14.48
50.71	999.73	22.14	108	57	481	108	628.80	490.32	774.23	694.42	769.43	613.29	37.63	0.00	14.48
50.72	999.73	22.15	106	68	489	106	556.53	433.40	610.47	566.01	673.38	524.24	37.50	0.00	14.48
50.73	999.72	22.16	109	64	483	109	413.42	314.11	426.66	388.20	430.13	344.90	37.56	0.00	14.48
50.74	999.72	22.17	108	65	495	108	611.46	454.20	628.30	560.08	614.92	479.09	37.50	0.00	14.47
50.74	999.72	22.17	112	72	493	112	599.89	442.16	607.13	540.32	577.34	452.76	37.50	0.00	14.48
50.75	999.72	22.16	108	73	486	109	601.34	435.59	594.88	523.53	555.41	431.44	37.50	0.00	14.50
50.75	999.73	22.19	110	64	479	110	607.12	441.07	604.90	533.41	565.85	441.47	37.44	0.00	14.50
50.75	999.73	22.20	105	59	458	105	604.23	437.78	602.67	532.42	565.85	442.72	37.44	0.00	14.51
50.75	999.77	22.53	102	61	459	103	607.12	449.82	611.59	545.26	591.95	454.01	37.38	0.00	14.50
50.74	999.81	22.46	105	61	463	105	573.87	411.51	561.46	492.91	519.92	398.83	37.31	0.00	14.50
50.74	999.91	22.46	110	49	470	110	582.55	413.70	565.91	497.85	520.96	398.83	37.31	0.00	14.51
50.76	999.98	22.43	107	56	525	107	583.99	416.99	572.60	501.80	528.27	406.35	37.25	0.00	14.50
50.81	1000.03	22.40	108	68	602	108	592.67	424.65	581.51	510.69	538.71	416.39	37.13	0.00	14.50
50.87	1000.08	22.35	107	88	680	107	586.88	421.37	575.94	504.76	533.49	411.37	37.13	0.00	14.50
50.95	1000.12	22.31	108	99	735	108	1136.18	514.39	1381.36	1175.47	652.50	943.14	37.06	0.00	14.51
